기능명,Depth1,Depth2,Depth3,MASTER,OPERATOR,기능 정의,대메뉴,번호,비고,일반,정책
파일 선택,문서 업로드,업로드 팝업,파일 선택,O,X,사용자가 업로드할 파일을 선택할 수 있다,콘텐츠 관리,52,문서 관리,X,"허용 확장자는 PDF, DOCX, TXT, MD로 제한"
업로드 저장 버튼,문서 업로드,업로드 팝업,저장 버튼,O,X,파일과 경로 입력 완료 후 업로드를 실행한다,콘텐츠 관리,56,문서 관리,X,"기본/비활성/로딩 상태 제공, 파일/경로/문서유형 입력 완료 시 활성화"
경로 입력,문서 업로드,업로드 팝업,경로 입력,O,X,문서가 저장되거나 분류될 경로를 직접 입력할 수 있다,콘텐츠 관리,54,문서 관리,X,"경로는 필수값, 최대 255자"
문서 확인 버튼,문서 목록,빠른 액션,문서 확인 버튼,O,X,목록에서 문서 확인 버튼 클릭 시 상세 화면으로 이동한다,콘텐츠 관리,50,,X,"기본 버튼 및 행 클릭 진입 제공, 비활성 문서는 상세 진입만 허용"
데이터 없음 상태,상태,빈 상태,데이터 없음,O,O,선택 기간에 데이터가 없을 경우 안내 문구를 표시한다,대시보드,43,,X,메시지: 선택한 기간에 조회된 데이터가 없습니다.
상세 확인,문서 목록,빠른 액션,상세 확인,O,X,목록에서 선택한 문서의 상세 정보를 조회한다,콘텐츠 관리,49,삭제 권한은 MASTER 전용. 삭제 전 확인 팝업 필수. 삭제된 문서는 복구 불가 정책 명시 필요.,X,MASTER만 접근 가능
로그인 정보 표시,GNB,로그인 정보 표시,,O,O,현재 로그인한 관리자 이름과 권한을 표시한다,공통 레이아웃,33,공통 영역,X,예: 홍길동(MASTER)
지식 응답 비중,운영 현황,차트,지식 응답 비중,O,O,지식 기반 응답과 일반 응답 비중을 도넛 차트로 제공,대시보드,42,,X,응답 유형별 비율 합계 100%
업로드 실패 메시지,문서 업로드,예외 처리,업로드 실패 메시지,O,X,"파일 형식 오류, 파일 누락, 경로 미입력, 중복 경로, 파싱 실패 시 오류 메시지를 노출한다",콘텐츠 관리,59,,X,파일 크기 상한(예: 50MB) 초과 시 '파일 크기 초과' 별도 메시지 표시. 상한값 정책 확정 필요.
문서명 검색,문서 목록,검색,문서명 검색,O,X,문서명 기준으로 문서를 검색한다,콘텐츠 관리,47,문서 관리,X,"2자 이상 입력 시 검색, 엔터 또는 검색 버튼으로 조회"
조회 실패 상태,상태,오류 상태,조회 실패,O,O,대시보드 데이터 조회 실패 시 오류 문구와 재시도 버튼을 제공한다,대시보드,44,44번(상태)과 45번(운영 현황) 중복 항목 → 통합 처리,X,메시지: 데이터를 불러오지 못했습니다. 다시 시도해 주세요.
문서 유형 필터,문서 목록,필터,문서 유형 필터,O,X,매뉴얼 또는 FAQ 유형으로 문서를 필터링한다,콘텐츠 관리,48,,X,문서 유형 단일 선택 또는 전체 보기 제공
업로드 버튼,문서 업로드,업로드 버튼,업로드 팝업 호출,O,X,업로드 버튼 클릭 시 파일 업로드 팝업을 오픈한다,콘텐츠 관리,51,문서 관리,X,"기본 버튼 클릭 시 업로드 팝업 오픈, 업로드 중 중복 클릭 비활성화"
피드백 관리 메뉴,GNB,피드백 관리,,O,O,피드백 목록 화면으로 이동,공통 레이아웃,31,,X,"MASTER, OPERATOR 노출"
업로드 취소 버튼,문서 업로드,업로드 팝업,취소 버튼,O,X,업로드를 취소하고 팝업을 닫는다,콘텐츠 관리,57,문서 관리,X,"팝업 닫기 동작, 작성 중 값은 저장하지 않음"
로그아웃 메뉴,GNB,로그아웃,,O,O,로그아웃 처리 후 로그인 페이지로 이동,공통 레이아웃,34,,X,세션 즉시 종료
응답 성공률,운영 현황,핵심 지표,응답 성공률,O,O,정상 응답 비율을 카드 형태로 제공,대시보드,40,,X,"(성공 응답 수/전체 응답 수)*100, 소수점 첫째 자리"
지식 기반 조회 메뉴,GNB,지식 기반 조회,,O,X,콘텐츠 관리에서 등록한 문서를 참조해 문서별 테스트를 수행하는 화면으로 이동,공통 레이아웃,30,,X,"콘텐츠 관리와 별도 메뉴, MASTER만 접근 가능"
선택 파일명 표시,문서 업로드,업로드 팝업,선택 파일명 표시,O,X,파일 선택 후 선택된 파일명을 팝업 내에 표시한다,콘텐츠 관리,53,,X,파일 미선택 시 플레이스홀더 문구 노출
기간별 문의 추이,운영 현황,차트,기간별 문의 추이,O,O,선택 기간 기준 문의 수 추이를 선형 차트로 제공,대시보드,41,,X,일/주/월 기준 x축 변경
페이지 제목,헤더,페이지 제목,,O,O,현재 페이지명과 위치 정보를 표시,공통 레이아웃,36,,X,전 화면 공통
문서 유형 선택,문서 업로드,업로드 팝업,문서 유형 선택,O,X,매뉴얼 또는 FAQ 유형을 선택할 수 있다,콘텐츠 관리,55,문서 관리,X,"유형 선택은 필수값, doc_type 저장 필수"
로그아웃 확인 팝업,공통 액션,로그아웃 확인 팝업,,O,O,로그아웃 클릭 시 확인 팝업을 노출한다,공통 레이아웃,35,,X,"확인/취소 버튼 제공, ESC 및 외부 클릭 닫기 허용"
총 문의 수,운영 현황,핵심 지표,총 문의 수,O,O,해당 기간 전체 문의 수를 카드 형태로 제공,대시보드,39,,X,사용자 질문 발생 건 기준 집계
업로드 완료 메시지,문서 업로드,업로드 팝업,업로드 완료 메시지,O,X,업로드 성공 시 완료 메시지 또는 토스트를 노출한다,콘텐츠 관리,58,[UX흐름] 업로드 완료 후 챗봇 반영 시점 명시 필요 - 즉시 반영 or 배치 처리 여부 결정 후 반영 상태 표시 필요.,X,메시지: 문서 업로드가 완료되었습니다.
계정/권한 관리 메뉴,GNB,계정/권한 관리,,O,X,운영 관리자 계정 및 권한 관리 화면으로 이동,공통 레이아웃,32,권한별 메뉴 제어,X,MASTER만 노출
참조 문서 정보,조회 결과,참조 문서 정보,,O,X,어떤 문서를 근거로 답변했는지 표시한다,지식 기반 조회,75,지식 테스트,X,"문서명, 문서 구분, 경로 표시"
결과 판정,조회 결과,결과 판정,,O,X,응답 결과를 적합 또는 부적합으로 판정 기록한다,지식 기반 조회,77,,X,"수동 선택, 테스트 검증용"
히스토리 컬럼,문서 히스토리,목록 테이블,히스토리 컬럼,O,X,"히스토리 목록에 버전, 작업자, 작업일시, 작업 유형, 변경 사유를 제공한다",콘텐츠 관리,63,,X,최신 이력이 상단에 노출되도록 정렬
데이터소스 선택,조회 조건,데이터소스 선택,,O,X,테스트 대상 데이터소스를 선택한다,지식 기반 조회,70,지식 테스트,X,문서 구분에 따라 연결된 데이터소스만 노출
파일 교체,문서 수정,재업로드,파일 교체,O,X,기존 문서를 새 파일로 교체 업로드할 수 있다,콘텐츠 관리,64,문서 관리,X,재업로드 시 기존 문서는 히스토리에 보관
업로드/수정 이력,문서 히스토리,변경 이력,업로드/수정 이력,O,X,문서별 업로드 및 수정 히스토리를 조회한다,콘텐츠 관리,62,히스토리는 삭제 불가 처리 권장(감사 목적). 작업자 계정 삭제 후에도 기록 보존 필요.,X,"이력 항목은 작업자, 작업일시, 변경 사유를 포함"
테스트 대상 문서 선택,조회 조건,테스트 대상 문서 선택,,O,X,콘텐츠 관리에 등록된 문서를 참조해 특정 문서를 선택한다,지식 기반 조회,71,지식 테스트,X,"문서별 단건 테스트, 문서 구분 및 데이터소스 기준 후보 노출"
문서 삭제 버튼,문서 삭제,삭제 버튼,,O,X,문서를 삭제 처리할 수 있다,콘텐츠 관리,66,,X,"위험 액션 스타일 적용, 클릭 시 삭제 확인 팝업 오픈"
문서 구분 선택,조회 조건,문서 구분 선택,,O,X,매뉴얼 또는 FAQ를 구분 선택한다,지식 기반 조회,69,지식 테스트,X,"단일 선택 필수, 기본값 없음"
조회 버튼,버튼,조회 버튼,,O,X,입력 조건 기준으로 지식 기반 조회를 실행한다,지식 기반 조회,72,지식 테스트,X,"기본/비활성/로딩 상태 제공, 질문·문서구분·데이터소스·문서 선택 완료 시 활성화"
조회 중,상태,조회 중,,O,X,조회 중 로딩 상태를 제공한다,지식 기반 조회,79,지식 테스트,X,메시지: 조회 중입니다.
입력 오류/조회 실패,상태,입력 오류/조회 실패,,O,X,필수값 누락 또는 조회 실패 시 오류를 안내한다,지식 기반 조회,81,지식 테스트,X,메시지: 질문을 입력해 주세요 / 데이터소스를 선택해 주세요 / 조회에 실패했습니다.
검증 메모,조회 결과,검증 메모,,O,X,테스트 결과에 대한 검증 메모를 입력한다,지식 기반 조회,78,,X,"선택 입력, 수정 이력 보존"
원본 보기/다운로드,문서 상세,원본 확인,원본 보기/다운로드,O,X,업로드된 문서 원본을 확인하거나 다운로드한다,콘텐츠 관리,61,,X,미리보기 불가 형식은 다운로드로 대체
문서 메타 정보,문서 상세,기본 정보,문서 메타 정보,O,X,"문서명, 유형, 저장 경로, 등록자, 등록일시, 최종 수정일을 조회한다",콘텐츠 관리,60,문서 관리,X,읽기 전용으로 제공
참조 문단 정보,조회 결과,참조 문단 정보,,O,X,응답에 사용된 문단 또는 chunk 위치 정보를 표시한다,지식 기반 조회,76,,X,문단 번호 또는 chunk id 표시
질문 입력,조회 조건,질문 입력,,O,X,테스트 질문을 입력한다,지식 기반 조회,68,지식 테스트,X,"1자 이상 입력 가능, 최대 1000자"
문서 삭제 확인 팝업,문서 삭제,삭제 확인 팝업,,O,X,문서 삭제 전 확인 팝업을 노출한다,콘텐츠 관리,67,,X,"확인/취소 버튼 제공, 확인 버튼은 위험 액션 스타일 적용"
초기화 버튼,버튼,초기화 버튼,,O,X,입력값과 조회 결과를 초기화한다,지식 기반 조회,73,지식 테스트,X,"기본 상태 제공, 결과 존재 시 활성화, 클릭 시 질문/선택값/결과 영역 모두 초기화"
실행 이력,테스트 이력,목록 테이블,실행 이력,O,X,문서별 테스트 실행 이력을 조회한다,지식 기반 조회,82,,X,"질문, 문서명, 문서구분, 실행일시, 판정 결과 저장"
결과 없음,상태,결과 없음,,O,X,답변을 찾지 못한 경우 안내 문구를 표시한다,지식 기반 조회,80,지식 테스트,X,메시지: 선택한 문서에서 일치하는 답변이 없습니다.
답변 결과,조회 결과,답변 결과,,O,X,테스트 응답 결과를 확인한다,지식 기반 조회,74,[UX흐름] 테스트 통과 후 실제 챗봇 운영 반영을 위한 '배포 적용' 단계 정의 필요. 테스트 환경과 운영 환경 동일 여부 확인 필요.,X,"응답 본문, 생성 시각 표시"
저장 경로 변경,문서 수정,경로 수정,저장 경로 변경,O,X,기존 문서의 경로를 수정할 수 있다,콘텐츠 관리,65,문서 관리,X,수정 이력에 변경 전/후 경로를 남김
비활성 계정 수,운영자 현황,핵심 지표,비활성 계정,O,X,잠금 및 비활성화 계정 수를 제공,계정/권한 관리,95,,X,클릭 시 해당 리스트 출력
관리자 추가 확인 버튼,운영 관리자 관리,관리자 추가 상세,확인 버튼,O,X,클릭 시 사유 입력 및 컴펌 팝업 출력,계정/권한 관리,101,,X,"기본/비활성/로딩 상태 제공, 사용자 선택 및 사유 입력 완료 시 활성화"
피드백 빈 상태,피드백 목록,빈 상태,검색 결과 없음,O,O,검색 또는 필터 결과가 없을 경우 안내 문구를 노출한다,피드백 관리,87,,X,메시지: 조건에 맞는 피드백이 없습니다.
관리자 추가 사유 입력,운영 관리자 관리,관리자 추가 팝업,사유 입력,O,X,운영자 추가 전 사유를 입력하는 팝업을 제공한다,계정/권한 관리,98,,X,"최소 1자 이상 입력 필수, 최대 200자"
전체 피드백 수,피드백 현황,핵심 지표,전체 피드백,O,O,선택 기간 내 전체 피드백 건수를 제공,피드백 관리,83,"[UX흐름] 부정 피드백 수신 후 담당자 지정, 처리 상태(미처리/검토중/완료) 변경, 완료 처리 등 후속 플로우 정의 필요.",X,좋아요와 싫어요를 모두 포함해 집계
피드백 기본 정보,피드백 상세,상세 정보,기본 정보,O,O,"단지명, 사용자 식별값, 반응 유형, 등록일시를 조회",피드백 관리,89,,X,개인정보는 정책에 따라 마스킹 또는 식별값 기준으로 제공
관련 대화 정보,피드백 상세,상세 정보,관련 대화 정보,O,O,좋아요 또는 싫어요가 입력된 대화 내용을 함께 조회,피드백 관리,90,,X,반응이 입력된 시점의 대화 문맥 기준으로 제공
자기 계정 수정 제한,운영 관리자 관리,계정 상세,자기 계정 수정 제한,O,X,본인 계정의 권한 변경 및 비활성화는 제한한다,계정/권한 관리,109,,X,자기 자신의 MASTER 권한 해제 불가
잠금 해제 확인 팝업,운영 관리자 관리,계정 상세,잠금 해제 확인 팝업,O,X,잠금 계정 활성화 전 확인 팝업을 노출한다,계정/권한 관리,110,,X,"사유 입력 후 확인 가능, 확인/취소 버튼 제공"
사용자 검색,운영 관리자 관리,관리자 추가 상세,사용자 검색,O,X,"이름, 아이디, 단지코드로 사용자 검색 가능",계정/권한 관리,99,,X,엔터 및 검색 버튼 클릭 시 필터 적용
피드백 오류 상태,피드백 목록,오류 상태,조회 실패,O,O,피드백 목록 조회 실패 시 오류 문구와 재시도 버튼을 제공한다,피드백 관리,88,,X,메시지: 피드백 목록을 불러오지 못했습니다. 다시 시도해 주세요.
관리자 추가 취소 버튼,운영 관리자 관리,관리자 추가 상세,취소 버튼,O,X,클릭 시 이전 화면으로 복귀,계정/권한 관리,102,,X,"팝업 닫기 동작, 입력값 저장 없음"
상세 보기 버튼,피드백 목록,상세 진입,상세 버튼,O,O,목록에서 선택한 피드백의 상세 화면으로 이동한다,피드백 관리,86,,X,행 클릭 또는 상세 버튼으로 동일 동작 제공
운영 권한 부여,운영 관리자 관리,계정 상세,운영 권한 부여,O,X,MASTER가 OPERATOR 계정을 활성화,계정/권한 관리,106,보안 사고 대응,X,권한 부여 사유와 수행자를 반드시 기록
부정 피드백 사유,피드백 상세,상세 정보,부정 피드백 사유,O,O,부정 피드백인 경우에만 사유 입력 내용을 조회,피드백 관리,91,,X,긴정 피드백에는 사유 입력 항목을 제공하지 않음
전체 운영자 수,운영자 현황,핵심 지표,전체 운영자 수,O,X,관리자 화면 접근 가능한 전체 운영자 수를 제공,계정/권한 관리,92,,X,"비활성화 계정 제외, 클릭 시 해당 리스트 출력"
MASTER 수,운영자 현황,핵심 지표,MASTER 수,O,X,마스터 권한 계정 수를 제공,계정/권한 관리,93,마지막 MASTER 보호 필요,X,"최소 1인 이상 유지 필요, 클릭 시 해당 리스트 출력"
OPERATOR 수,운영자 현황,핵심 지표,OPERATOR 수,O,X,운영 권한 계정 수를 제공,계정/권한 관리,94,,X,클릭 시 해당 리스트 출력
사용자 리스트,운영 관리자 관리,관리자 추가 상세,사용자 리스트,O,X,"이름, 아이디, 단지코드 검색 결과 리스트 출력",계정/권한 관리,100,,X,"리스트 선택은 1회만 가능, 다중 선택 불가"
로그인 이력,운영 관리자 관리,계정 상세,로그인 이력,O,X,"최근 로그인 일시, 성공 여부, IP 등 이력을 제공",계정/권한 관리,104,,X,보안 감사 목적의 보존 기간 정책 필요
관리자 추가 버튼,운영 관리자 관리,관리자 추가 버튼,,O,X,클릭 시 관리자 추가 팝업 출력,계정/권한 관리,97,,X,기본 버튼 클릭 시 관리자 추가 팝업 오픈
권한 변경 확인 팝업,운영 관리자 관리,계정 상세,권한 변경 확인 팝업,O,X,운영 권한 부여 또는 비활성화 시 확인 팝업을 노출한다,계정/권한 관리,108,,X,"변경 전 권한/변경 후 권한/사유 확인 후 실행, 확인/취소 버튼 제공"
피드백 목록 테이블,피드백 목록,목록 테이블,,O,O,"등록일시, 단지명, 사용자 식별값, 반응 유형, 부정 사유 입력 여부를 리스트로 제공",피드백 관리,85,,X,기본 정렬은 최신순으로 적용
계정 상세 기본 정보,운영 관리자 관리,계정 상세,기본 정보,O,X,"이름, 아이디, 권한, 등록일, 최근 로그인, 상태, 관리 컴럼 출력",계정/권한 관리,103,,X,상단 요약 영역에서 핵심 상태를 우선 노출
잠금 계정 활성화,운영 관리자 관리,계정 상세,잠금/해제 이력,O,X,OTP 5회 실패한 계정 잠금 해제를 수행,계정/권한 관리,108,보안 사고 대응. 잠금 해제 사유 및 수행자 기록 필요.,X,잠금 해제 사유와 수행자를 반드시 기록
관리자 목록,운영 관리자 관리,관리자 목록,,O,X,"운영 관리자 계정 목록과 현재 권한, 상태를 조회",계정/권한 관리,96,ERP 연동 인증 토큰 및 API 키는 별도 보안 설정 화면에서 관리 필요. 추후 논의 필요.,X,리스트 출력 및 상세 버튼으로 관리자별 상세 관리 가능
잠금/해제 이력,운영 관리자 관리,계정 상세,잠금/해제 이력,O,X,"OTP 실패 잠금, MASTER에 의한 잠금 및 해제 이력을 조회",계정/권한 관리,105,,X,"잠금 및 해제 사유 출력, 해제 요청자 표시"
피드백 조건 필터,피드백 목록,조건 필터,,O,O,"기간, 긴정, 부정 기준으로 목록을 필터링",피드백 관리,84,,X,검색 후에도 필터 조건을 유지
운영 권한 비활성화,운영 관리자 관리,계정 상세,운영 권한 비활성화,O,X,MASTER가 OPERATOR 계정을 비활성화,계정/권한 관리,107,보안 사고 대응. 비활성화/활성화 이력 전체를 감사 로그로 별도 보관 필요. 로그 보존 기간 정책 결정 필요.,X,권한 부여 사유와 수행자를 반드시 기록
결과 복사 버튼,버튼,결과 복사 버튼,,O,X,조회 결과 본문을 클립보드로 복사한다,지식 기반 조회,111,버튼 보강,X,"결과 존재 시 활성화, 복사 완료 토스트 제공"
업로드 팝업 닫기 버튼,문서 업로드,업로드 팝업,닫기 버튼,O,X,업로드 팝업 우측 상단 닫기 버튼으로 팝업을 종료한다,콘텐츠 관리,113,팝업 보강,X,"ESC, 외부 클릭, 닫기 버튼으로 동일 종료 동작 제공"
원문 보기 버튼,조회 결과,원문 보기 버튼,,O,X,참조 문서 원문 또는 상세 화면으로 이동한다,지식 기반 조회,112,버튼 보강,X,"참조 문서 정보 영역에서 제공, 새 탭 또는 모달 미리보기 지원"
자주 묻는 질문 키워드,운영 현황,키워드,자주 묻는 질문 키워드,O,O,해당 기간 자주 등장한 질문 키워드를 순위형 리스트로 제공,대시보드,47,참고 이미지 반영으로 추가,X,지난 7일 기준 상위 3개 키워드와 건수 노출
답변 실패 건,운영 현황,핵심 지표,답변 실패 건,O,O,해당 기간 답변 실패 건수를 카드 형태로 제공,대시보드,46,참고 이미지 반영으로 추가,X,실패 응답 발생 건 기준 집계
피드백 비율,운영 현황,차트,피드백 비율,O,O,해당 기간 만족/아쉬워요 피드백 비율을 도넛 차트로 제공,대시보드,48,참고 이미지 반영으로 추가,X,"피드백 유형별 비율 합계 100%, 지난 7일 기준"
